Gene ID	treated_1	treated_2	treated_3	untreated_1	untreated_2	untreated_3
QSER1	2644	2044	2281	5387	3674	5226
LOC105376615	49	27	36	65	50	73
DEPDC7	7	9	7	5	5	4
TCP11L1	915	620	738	1092	750	951
LINC00294	160	109	138	206	136	212
CSTF3	1135	857	903	2253	1559	2316
CSTF3-DT	0	0	2	8	2	9
HIPK3	3086	2289	2437	6670	4436	6459
KIAA1549L	13	2	10	1	8	3
LOC105376617	3	2	5	1	2	0
C11orf91	35	21	23	19	19	22
CD59	4749	3410	3900	4076	2816	3818
FBXO3	1317	1042	1103	2024	1524	2148
FBXO3-DT	0	0	0	0	0	0
LINC02722	0	0	2	0	0	0
LINC02721	0	0	0	0	0	0
LMO2	137	91	102	72	64	57
LOC105376621	0	0	0	0	0	0
LOC101929918	544	487	378	675	486	577
CAPRIN1	15241	11531	12128	20226	14471	19731
NAT10	3693	2431	2908	6629	4278	5726
ABTB2	1792	1202	1460	2146	1605	1954
LOC102723539	454	343	402	927	687	925
LOC105376622	0	0	0	0	1	0
CAT	2425	1701	1956	4068	2918	3816
ELF5	302	210	218	349	250	391
LINC02707	20	5	8	12	13	10
EHF	24	12	27	276	132	208
LOC102723568	0	0	0	0	2	0
LOC105376625	0	0	0	0	0	0
LOC105376624	6	3	5	8	7	2
APIP	502	359	409	1115	867	1204
PDHX	1106	785	964	2213	1520	2231
MIR1343	0	0	0	0	0	0
LOC105376626	8	13	10	22	10	18
LOC105376627	1	1	1	2	0	2
CD44-DT	1	3	5	5	5	11
CD44	4462	3389	3719	6690	4668	6067
SNORD164	0	0	0	2	0	0
SLC1A2	236	157	215	544	333	497
SLC1A2-AS1	0	1	0	0	0	1
PAMR1	23	20	21	12	15	10
FJX1	900	724	770	981	689	886
TRIM44	6019	4353	4787	8498	5645	7737
LDLRAD3	804	602	695	839	620	767
MIR3973	0	0	0	0	0	0
LOC101928510	3	0	0	3	0	2
COMMD9	1202	857	1068	1962	1367	1935
PRR5L	104	72	82	173	85	142
TRAF6	1208	918	1081	1481	1001	1405
RAG1	17	17	7	27	14	29
RAG2	4	5	1	2	4	4
IFTAP	273	210	219	507	362	500
LOC107984325	1	1	0	3	7	15
LOC107984326	0	0	1	0	0	0
LOC105376631	0	0	0	0	0	0
LOC105376632	0	0	0	0	0	0
LINC02760	0	0	0	0	0	1
LOC105376634	0	0	0	0	0	0
LINC02759	0	0	0	0	0	0
LOC105376635	0	0	1	0	0	0
LINC01493	0	0	0	0	0	0
LOC101928563	0	0	0	0	0	0
LOC107984362	1	0	0	0	0	0
LOC105376636	7	6	4	6	7	6
LOC105376637	0	0	0	0	0	0
LRRC4C	13	7	7	3	5	9
LINC02741	0	1	0	0	0	0
LINC01499	0	0	0	0	0	0
LOC105376639	0	0	0	0	0	0
LINC02745	0	0	0	0	0	0
LOC105376641	0	0	0	0	0	0
LINC02740	0	0	0	0	0	0
LOC105376642	0	0	0	0	0	0
HNRNPKP3	0	0	0	0	0	0
API5	4287	3274	3448	7519	5150	7240
TTC17	4033	3053	3328	5306	3850	5219
MIR670	0	0	0	0	0	0
MIR670HG	0	0	0	0	0	0
HSD17B12	305	236	199	677	514	749
MIR129-2	0	0	0	0	0	0
LOC107984328	32	23	22	76	47	77
LOC105376644	0	0	1	0	0	1
ALKBH3	375	286	295	525	383	522
SEC14L1P1	81	65	67	161	99	120
ALKBH3-AS1	18	10	12	26	17	32
C11orf96	33	29	19	3	1	6
ACCSL	0	0	0	0	0	2
ACCS	929	578	690	1553	1104	1465
EXT2	1475	1051	1170	1748	1202	1643
ALX4	9	8	3	10	4	12
LOC105376645	0	0	0	0	0	0
LOC105376646	0	0	1	0	0	0
CD82	76	59	44	138	125	143
LINC02704	0	0	0	0	0	0
TSPAN18	35	28	29	65	41	42
TP53I11	3906	2669	3160	5384	3602	4346
LOC105376649	0	0	0	1	0	0
LINC02685	0	0	0	0	0	0
LOC105376650	0	0	0	0	0	0
PRDM11	466	304	364	579	445	575
LOC105376652	16	12	8	36	19	42
LOC101060179	123	89	96	214	133	185
SYT13	2	1	1	1	0	3
LINC02696	6	3	1	2	1	6
LINC02687	0	0	0	0	0	0
LOC105376654	0	0	0	0	0	0
LOC105376655	0	0	0	0	0	0
LOC105376656	0	0	0	0	0	0
CHST1	88	91	82	24	12	28
MIR7154	0	0	0	0	0	0
LOC100507384	0	0	0	0	0	0
LINC02690	0	0	0	0	0	0
LINC02716	2	0	3	0	0	0
SLC35C1	1782	1147	1327	1127	734	1020
CRY2	2147	1438	1775	1500	954	1375
MAPK8IP1	1254	872	1047	651	429	568
FREY1	8	8	6	31	15	18
PEX16	1787	1122	1346	1698	1206	1462
LARGE2	642	429	588	481	341	432
PHF21A	1350	923	1067	2488	1806	2460
LOC105376661	2	5	1	2	3	3
LOC101928894	1	0	0	0	0	0
LINC02710	0	0	0	0	0	0
LINC02489	3	4	1	0	1	1
CREB3L1	24	11	18	1	1	6
DGKZ	6133	4145	4915	30536	19764	25896
MIR4688	1	2	4	9	1	3
MDK	3790	2501	3281	3355	2443	3330
CHRM4	47	48	50	33	26	41
AMBRA1	2603	1784	2146	2985	2090	2796
MIR3160-1	0	0	0	0	0	0
MIR3160-2	0	0	0	0	0	0
HARBI1	426	331	349	561	352	464
ATG13	4447	3103	3646	5122	3415	4613
ARHGAP1	4259	2876	3468	5022	3222	4314
ZNF408	878	578	770	970	675	780
F2	6	4	1	0	0	0
CKAP5	6614	4863	5586	13019	8865	13156
MIR5582	1	2	2	5	5	4
SNORD67	4	8	4	14	17	19
LRP4-AS1	14	8	12	11	13	15
LRP4	196	137	149	102	86	109
CSTPP1	1330	804	1102	1740	1148	1553
LOC107984329	152	98	114	218	124	169
ARFGAP2	5830	3930	4903	8134	5536	7286
PACSIN3	1216	838	1053	2921	1966	2801
MIR6745	0	0	0	0	1	1
DDB2	1061	764	826	2869	1991	2735
ACP2	814	565	721	1292	965	1156
NR1H3	387	251	316	3252	2256	3172
MADD	4806	3276	4068	6970	4369	5818
MADD-AS1	23	15	19	40	27	29
MYBPC3	2	1	3	4	0	8
SPI1	6	7	9	2	5	5
MIR4487	0	0	0	0	0	0
SLC39A13	2529	1572	1989	2509	1720	2303
PSMC3	3199	2066	2556	6353	4535	6191
RAPSN	36	19	25	14	9	17
CELF1	9352	6826	7459	14885	10249	13905
PTPMT1	1646	1135	1308	2527	1717	2449
KBTBD4	974	641	759	1340	999	1304
NDUFS3	1937	1349	1516	3382	2557	3389
FAM180B	5	7	1	0	1	3
C1QTNF4	39	30	27	22	26	33
MTCH2	3021	2203	2415	5390	3672	5197
AGBL2	260	168	200	508	360	500
FNBP4	9650	6985	7513	11000	7490	10175
NUP160	3237	2390	2653	6662	4583	6735
PTPRJ	2407	1734	1994	2884	1833	2807
MIR3161	0	0	0	3	1	3
OR4B1	0	0	0	0	0	0
OR4X2	0	0	0	0	0	0
OR4X1	0	0	0	0	0	0
OR4S1	0	1	0	0	0	0
OR4C3	0	0	0	0	0	0
OR4C5	0	0	0	0	0	0
OR4A47	0	0	0	0	0	0
TRIM49B	2	0	0	0	0	0
TRIM64C	0	0	0	0	0	0
FOLH1	2	4	0	0	0	1
GRM5P1	1	4	1	3	1	7
OR4C13	0	0	0	0	0	0
OR4C12	0	0	0	0	0	0
OR4C45	0	0	0	0	0	0
LOC101060224	0	0	0	0	0	0
LOC107984330	0	0	0	0	0	0
SEPTIN7P11	3	5	7	5	6	9
LINC02750	0	0	0	0	0	0
LOC646813	0	0	0	0	0	0
OR4C46	0	0	0	0	0	0
OR4A5	0	0	0	0	0	0
TRIM48	0	0	0	0	0	0
TRIM51HP	0	0	0	0	0	0
OR4A16	0	0	1	0	2	0
OR4A15	0	0	0	0	0	0
OR4C15	0	0	0	0	0	0
OR4C16	0	0	0	0	0	0
OR4C11	0	0	0	0	0	0
OR4P4	0	0	0	0	0	0
OR4S2	0	0	0	0	0	0
OR4C6	0	0	0	0	0	0
OR5D13	0	0	0	0	0	0
OR5D14	0	0	0	0	0	0
OR5L1	0	0	0	0	0	0
OR5D18	0	0	0	0	0	0
OR5L2	0	0	0	0	0	0
OR5D16	0	0	0	0	0	0
TRIM51	0	0	0	0	0	0
OR5W2	0	0	0	0	0	0
OR5I1	0	0	0	0	0	0
OR10AG1	0	0	0	0	0	0
OR7E5P	0	0	0	0	0	1
OR5F1	0	0	0	0	0	0
OR5AS1	0	0	0	0	0	0
OR8I2	0	0	0	0	0	0
OR8H2	0	0	0	0	0	0
OR8H3	0	0	0	0	0	0
OR8J3	0	0	0	0	0	0
OR8K5	0	0	0	0	0	0
OR5J2	0	0	0	0	0	0
OR5T2	0	0	0	0	0	0
OR5T3	0	0	0	0	0	0
OR5T1	0	0	0	0	0	0
OR8H1	0	0	0	0	0	0
OR8K3	0	0	0	0	0	0
OR8K1	0	0	0	0	0	0
OR8J1	0	0	0	0	0	0
OR8U1	0	0	0	0	0	0
OR5AL1	0	0	0	0	0	0
OR8U3	0	0	0	0	0	0
OR5M9	0	0	0	0	0	0
OR5M3	0	0	0	0	0	0
OR5M8	0	0	0	0	0	0
OR5M11	1	3	2	7	5	5
OR5M10	0	1	0	0	0	0
OR5M1	0	0	1	0	0	0
OR5AP2	0	0	0	0	0	0
OR5AR1	0	0	0	0	0	0
OR9G1	0	0	0	0	0	0
OR9G4	0	0	0	0	0	0
MIR6128	0	0	0	0	0	0
LINC02735	0	0	0	0	0	0
LOC105369310	0	0	1	0	0	0
OR5AK2	0	0	0	0	0	0
OR5AK4P	0	0	0	0	0	0
LOC105369309	0	0	0	0	0	0
LRRC55	0	0	0	0	0	0
APLNR	2	1	2	0	0	0
LOC107984364	1	0	1	0	0	0
TNKS1BP1	5565	3611	4385	6960	4715	5744
SSRP1	3642	2497	3056	7421	4929	7003
P2RX3	0	0	0	0	6	3
PRG3	0	0	0	0	0	0
PRG2	1	0	0	0	0	0
LOC105369312	0	0	3	0	1	0
SLC43A3	14	10	5	9	4	10
RTN4RL2	73	57	57	61	49	70
SLC43A1	207	123	207	158	115	133
TIMM10	528	337	440	1273	948	1286
SMTNL1	1	1	1	0	0	1
UBE2L6	49	19	30	52	15	42
SERPING1	5	7	5	20	11	12
MIR130A	0	0	0	0	0	0
YPEL4	2	1	2	1	0	0
CLP1	321	233	287	488	297	492
ZDHHC5	2495	1778	1954	3205	2186	2862
MED19	340	259	290	436	309	363
TMX2-CTNND1	5942	4259	5020	7687	5335	6955
TMX2	1772	1221	1446	2348	1543	2271
SELENOH	825	595	710	1401	1066	1365
BTBD18	9	9	11	12	16	15
CTNND1	5900	4242	4999	7706	5329	6905
LOC107984331	0	0	0	0	0	0
OR9Q1	0	0	0	0	0	0
OR6Q1	0	0	0	0	0	0
OR9I1	0	0	0	0	0	0
OR9Q2	0	0	0	0	0	0
OR1S2	0	0	0	0	0	0
OR1S1	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0
OR10W1	0	0	0	0	0	0
OR5B17	0	0	0	0	0	0
OR5B3	0	0	0	0	0	0
OR5B2	0	1	0	0	0	0
OR5B12	0	0	0	0	0	0
LOC105369313	0	0	0	2	0	1
OR5B21	0	0	0	0	0	1
LPXN	244	208	239	431	321	382
ZFP91	2412	1843	1880	3785	2496	3461
ZFP91-CNTF	621	441	462	894	616	814
CNTF	21	16	7	37	26	33
GLYAT	0	0	0	0	0	0
GLYATL2	1	3	0	7	3	0
GLYATL1	0	0	0	0	1	1
LOC283194	0	4	0	3	3	4
GLYATL1B	2	2	2	10	3	3
LOC105369315	27	17	11	106	71	100
FAM111B	114	68	83	1157	798	1098
FAM111A-DT	185	146	150	345	251	329
FAM111A	2210	1692	1769	4796	3439	4495
DTX4	155	103	120	183	145	200
MPEG1	2	0	0	1	0	1
OR5AN1	0	0	0	0	0	0
OR5A2	0	0	0	0	0	0
OR5A1	0	0	0	0	0	0
OR4D6	0	0	0	0	0	0
OR4D10	0	0	0	0	0	0
OR4D11	0	0	0	0	0	0
OR4D9	0	0	0	0	0	0
LOC102723575	1	1	6	14	2	5
TRV-TAC1-1	1	0	3	1	1	2
TRV-TAC2-1	0	0	0	1	1	1
TRR-TCT3-2	1	0	0	0	0	0
TRL-TAA3-1	0	0	0	0	1	1
TRK-TTT5-1	0	0	0	3	4	2
TRF-GAA1-3	0	2	0	0	2	0
LINC02739	1	1	0	0	2	2
TRK-TTT3-4	0	0	0	0	1	0
TRF-GAA2-1	0	1	0	0	0	0
OSBP	2616	2017	2237	3183	2157	2776
MIR3162	0	0	0	0	1	0
LOC101927226	9	8	10	17	14	14
PATL1	1366	1018	1093	2154	1371	1832
LOC105369318	0	0	1	3	1	1
OR10V1	0	0	0	1	0	0
OR10V2P	0	0	1	3	3	4
STX3	4086	2909	3202	2697	1952	2371
MRPL16	789	596	649	1889	1336	1816
CBLIF	4	3	0	7	1	0
TCN1	0	4	5	1	1	1
OOSP1	5	2	3	1	0	2
OOSP4B	2	0	0	0	0	1
OOSP2	0	0	0	0	0	0
MS4A3	0	0	0	0	0	0
MS4A2	1	0	0	0	0	0
LINC02705	0	0	0	0	0	0
MS4A6A	0	2	0	0	0	0
MS4A4E	2	1	1	0	1	1
MIR6503	0	0	0	0	0	0
MS4A4A	0	1	0	0	0	0
MS4A6E	0	0	0	0	0	0
MS4A7	0	0	0	0	0	0
MS4A14	0	0	0	0	0	0
MS4A5	0	0	0	0	0	0
MS4A1	0	0	0	0	1	0
MS4A12	0	0	0	0	0	0
LOC105369320	0	0	0	0	0	0
MS4A13	0	0	0	0	0	0
LOC105369321	0	1	0	0	0	0
LINC00301	0	0	0	0	0	0
MS4A8	0	0	0	0	0	0
MS4A18	1	0	0	0	0	0
MS4A15	6	5	3	6	4	1
MS4A10	0	0	0	0	0	0
LOC105369322	8	4	7	4	2	5
CCDC86	1436	798	1099	2048	1357	1764
PTGDR2	65	27	43	64	53	56
ZP1	2	6	2	3	6	6
PRPF19	4694	3113	4028	7937	5341	6871
PRPF19-DT	16	10	17	34	15	20
TMEM109-DT	7	5	4	6	5	7
TMEM109	1989	1310	1685	2961	2006	2626
TMEM132A	10644	7179	8557	11743	7873	10098
SLC15A3	107	73	89	116	86	88
CD6	4	3	3	2	0	1
LOC105369326	0	0	0	1	2	1
LOC105369325	5	2	3	8	2	7
CD5	39	32	33	56	17	58
VPS37C	2304	1496	1859	2923	1904	2706
PGA3	1	1	0	1	0	0
PGA4	1	1	1	1	0	1
PGA5	1	1	3	0	0	1
VWCE	86	51	52	104	53	77
DDB1	19250	12972	15590	27225	18711	25113
TKFC	6878	4272	5340	13330	8728	11690
CYB561A3	2568	1591	1909	3891	2611	3388
TMEM138	1231	862	1056	1893	1371	1782
TMEM216	843	611	680	1179	973	1224
CPSF7	6932	4612	5725	10265	6705	9028
SDHAF2	1391	959	1246	2216	1505	2138
PPP1R32	158	99	130	234	165	200
LOC105369329	9	3	3	10	8	6
MIR4488	0	0	0	0	0	0
LRRC10B	114	71	83	62	57	65
SYT7	5238	3472	4129	4340	2839	3732
LOC105369331	18	6	18	12	15	17
LOC101927495	0	4	2	2	1	3
RPLP0P2	10	5	23	20	7	6
DAGLA	499	308	445	1580	892	1476
MYRF	47	27	29	49	42	44
MYRF-AS1	1	0	0	0	0	0
TMEM258	1245	812	960	2479	1768	2220
MIR611	362	232	282	708	515	640
FEN1	756	523	636	3374	2244	3061
FADS1	844	645	657	2609	1565	2445
MIR1908	1	0	3	3	2	4
FADS2	206	120	126	2352	1684	2504
FADS3	1976	1336	1502	1392	965	1232
MIR6746	17	8	8	5	4	5
RAB3IL1	409	309	328	217	143	180
BEST1	28351	20281	22136	22929	15535	20761
LOC107984334	71	58	65	30	23	23
FTH1	45077	34881	34592	35806	24395	31600
LOC399900	81	56	48	36	25	40
LINC02733	0	0	2	0	0	1
INCENP	1044	703	814	3531	2162	3063
SCGB1D1	0	0	0	0	0	0
SCGB2A1	2	1	0	0	5	1
SCGB1D2	1	1	0	40	24	52
SCGB2A2	1	0	0	0	0	0
SCGB1D4	0	0	0	0	0	0
ASRGL1	117	84	91	248	162	196
LOC107984335	0	0	0	0	1	0
LOC102723765	1	0	0	0	0	2
SCGB1A1	0	0	0	0	0	1
AHNAK	59141	44221	48874	111525	72567	96254
EEF1G	98061	63440	80720	138339	95667	126195
MIR6747	5	3	5	5	4	4
TUT1	1653	926	1314	2682	1822	2476
MTA2	5292	3605	4088	6827	4373	6243
EML3	2499	1684	1957	3713	2382	3114
ROM1	66	37	52	88	67	86
B3GAT3	1773	1175	1503	2612	1825	2288
GANAB	14449	9560	11727	22386	15223	20312
INTS5	1452	966	1197	9560	6028	8492
LBHD1	1273	874	1070	2462	1640	2237
C11orf98	660	471	556	1200	820	1153
CSKMT	496	350	441	1004	646	953
SNORA57	52	37	45	102	60	75
UQCC3	705	476	585	1422	969	1331
UBXN1	4690	2948	3820	6460	4162	5475
LRRN4CL	5	5	8	8	8	3
HNRNPUL2-BSCL2	3663	2727	2959	6176	4103	5457
BSCL2	843	546	696	1292	933	1151
GNG3	101	45	68	169	101	125
HNRNPUL2	3926	2989	3198	6953	4477	6204
TTC9C	689	568	586	1123	866	1083
ZBTB3	204	175	206	423	252	301
POLR2G	1432	1034	1133	2812	2169	2929
TAF6L	918	687	760	1575	1166	1514
TMEM179B	1390	1005	1185	1875	1333	1815
MIR6748	35	30	33	73	59	90
TMEM223	690	422	554	1124	808	1057
NXF1	5015	3414	4076	5135	3445	4601
MIR6514	5	4	7	7	5	10
STX5	1737	1078	1340	2182	1457	1956
STX5-DT	341	203	263	447	323	437
WDR74	1662	1087	1300	2368	1558	2267
SNHG1	4197	3182	3364	5188	3901	5151
SNORD22	170	113	122	224	182	243
SNORD31	171	139	113	283	196	278
SNORD30	34	26	31	83	57	64
SNORD29	87	61	59	148	87	150
SNORD28	50	47	47	128	81	95
SNORD27	35	28	44	68	62	81
SNORD26	44	39	27	78	51	70
SNORD25	53	40	34	61	51	64
SLC3A2	12653	8818	9929	43584	28724	39244
CHRM1	15	15	18	60	60	66
LOC105369333	9	6	9	20	17	33
SLC22A6	1	1	2	0	0	3
SLC22A8	1	3	0	0	0	0
SLC22A24	0	0	0	0	0	0
SLC22A25	0	0	3	6	1	1
LOC105369334	0	0	0	0	0	0
SLC22A10	0	0	1	0	0	0
SLC22A9	1	1	0	0	0	0
PLAAT5	0	1	0	0	0	0
LGALS12	0	0	0	0	1	0
PLAAT4	10	6	7	23	16	14
PLAAT2	36	31	27	69	52	102
PLAAT3	1601	1120	1416	2768	1843	2503
LOC105369335	0	0	0	3	0	3
LOC107984336	15	6	7	8	8	14
ATL3	2579	1844	2084	3844	2629	3618
RTN3	4415	3407	3747	8831	5922	8106
ZFTA	1460	1109	1224	1239	801	928
SPINDOC	1507	1046	1216	1684	1124	1488
MARK2	4473	3038	3443	4628	2875	3980
RCOR2	164	96	111	272	173	245
NAA40	1576	1036	1232	2428	1725	2236
COX8A	3552	2195	2887	6489	4572	6274
OTUB1	3631	2357	3003	4801	3254	4328
MACROD1	2100	1572	1577	3117	1988	2583
LOC101927673	329	270	306	559	323	450
FLRT1	145	112	111	245	133	216
LOC105369339	17	15	15	28	11	18
STIP1	8359	6117	6908	12232	8532	11559
FERMT3	111	67	101	153	85	113
TRPT1	1399	852	1183	1976	1365	1733
NUDT22	1258	744	980	1593	1124	1368
DNAJC4	1077	736	842	1378	1039	1232
VEGFB	1524	1022	1259	1478	1003	1241
FKBP2	514	353	378	616	454	631
LOC114841035	514	358	381	624	459	640
PPP1R14B	4313	3073	3537	4391	3140	4122
PPP1R14B-AS1	152	119	146	212	149	173
PLCB3	2610	1668	2084	2791	1786	2371
BAD	681	496	572	1007	675	884
GPR137	1978	1332	1563	12052	7836	10236
KCNK4	14	12	8	19	14	23
KCNK4-TEX40	19	14	13	32	21	33
CATSPERZ	7	5	5	17	12	16
ESRRA	3052	2150	2315	3282	2129	2912
TRMT112	3908	2513	3301	7880	5688	7588
PRDX5	4405	2982	3636	6442	4786	6140
LOC102723878	5	4	1	8	4	5
CCDC88B	101	66	71	87	69	97
MIR7155	0	0	0	1	0	0
RPS6KA4	1597	1075	1189	1666	1094	1372
MIR1237	3	2	1	1	0	1
LINC02723	0	0	0	0	0	0
LOC105369341	0	0	0	0	0	0
LINC02724	3	2	1	1	1	17
SLC22A11	1	2	0	0	1	0
SLC22A12	0	2	1	0	0	0
NRXN2	11	4	7	9	4	0
NRXN2-AS1	3	0	0	0	0	0
RASGRP2	12	9	14	4	3	2
PYGM	164	112	123	63	49	57
SF1	11993	8652	9709	18070	11543	15146
MAP4K2	332	204	250	539	303	419
MEN1	2796	1819	2273	4899	3156	4164
CDC42BPG	4234	2884	3413	17776	10848	14588
EHD1	2469	1736	2028	9572	6564	7860
MIR10392	78	51	55	66	28	33
MIR194-2HG	11	9	8	4	6	7
MIR192	2	1	0	1	1	0
MIR194-2	1	0	0	0	0	1
ATG2A	4075	2857	3418	4299	2666	3391
MIR6750	5	5	5	5	3	5
MIR6749	4	2	5	3	2	2
PPP2R5B	1006	782	842	731	501	656
GPHA2	8	7	4	6	3	5
MAJIN	1	2	0	0	0	1
BATF2	24	11	18	22	8	16
ARL2-SNX15	645	474	552	1127	769	1043
ARL2	610	482	507	1382	941	1224
MIR6879	1	0	0	1	0	1
SNX15	400	283	355	588	397	576
SAC3D1	513	385	428	1065	669	940
NAALADL1	15	11	12	9	7	15
CDCA5	277	209	216	2376	1576	2139
ZFPL1	1240	786	942	1449	1026	1313
TMEM262	19	13	9	14	10	10
VPS51	6208	4269	4940	7973	5280	6642
TM7SF2	2165	1546	1791	3963	2679	3493
ZNHIT2	647	483	491	964	603	778
FAU	11038	6980	9015	14931	10993	14567
MRPL49	2134	1354	1712	3864	2672	3755
SYVN1	3746	2407	3104	5189	3375	4203
MIR6751	19	13	15	34	18	25
SPDYC	15	9	14	204	159	160
CAPN1-AS1	253	158	170	295	185	204
CAPN1	9946	6440	8078	11840	7750	9707
SLC22A20P	33	45	38	94	48	73
POLA2	369	259	312	1527	986	1440
LOC105369344	9	11	7	26	14	24
CDC42EP2	224	137	169	490	310	486
DPF2	2210	1493	1792	3009	2161	2943
TIGD3	41	36	39	91	65	90
SLC25A45	71	39	45	692	472	548
FRMD8	1363	959	1105	2012	1280	1811
LOC107984338	2763	1811	2011	3054	2099	2753
NEAT1	37013	26285	28300	44245	27618	36684
MIR612	68	48	51	103	68	70
FAUP4	69	45	52	113	100	139
LINC02736	12	14	4	4	1	3
MALAT1	25989	19055	20459	28242	19581	25133
TALAM1	25006	18260	19683	27071	18781	24176
MASCRNA	49	45	39	70	62	66
SCYL1	5970	3682	4609	6859	4493	5973
LTBP3	5356	4078	4277	6804	4386	5298
ZNRD2-DT	172	109	111	251	162	196
ZNRD2	1051	726	921	6128	3964	5416
FAM89B	2365	1734	1921	10500	7916	10172
EHBP1L1	1786	1219	1299	11240	7672	10120
KCNK7	10	5	3	26	8	18
MAP3K11	4237	2807	3494	5890	3799	4709
PCNX3	9983	6629	7950	11830	7325	9919
MIR4690	18	18	17	31	16	25
SIPA1	253	160	170	246	142	189
MIR4489	1	4	3	2	2	2
RELA	4420	2998	3577	4746	2996	3873
RELA-DT	294	212	204	520	349	471
KAT5	2408	1561	1907	15196	10292	13448
RNASEH2C	1946	1243	1609	2857	1946	2598
AP5B1	2092	1549	1780	2140	1439	1942
OVOL1	2815	1897	2214	1909	1419	1698
OVOL1-AS1	35	27	27	30	16	18
SNX32	3983	2579	3146	5465	3606	4824
CFL1	22197	14735	18461	30040	20655	27571
MUS81	2181	1487	1761	2777	1939	2375
EFEMP2	82	42	58	249	163	215
CTSW	12	1	4	7	5	18
FIBP	2763	1826	2269	4262	2787	3783
CCDC85B	1685	1252	1171	2227	1551	1954
FOSL1	105	71	75	47	18	25
C11orf68	1337	843	1154	1711	1176	1554
DRAP1	1875	1264	1320	2820	1778	2390
LOC105369349	7	3	5	1	7	6
LOC105369350	3	2	2	0	0	0
TSGA10IP	5	2	5	2	0	2
SART1	4454	2899	3577	6089	3971	5128
EIF1AD	1115	812	999	1762	1208	1678
BANF1	3827	2501	3161	7923	5283	7243
CST6	2	2	1	0	8	4
CATSPER1	1	3	0	7	6	7
GAL3ST3	1	1	0	0	0	0
SF3B2	10444	6910	8491	14792	9940	13343
SNORD13F	2	2	3	5	1	4
PACS1	6169	4096	4891	4790	3034	3947
LOC105369354	21	23	16	18	19	18
KLC2	2822	1794	2155	2978	1874	2532
KLC2-AS1	859	536	683	865	624	807
KLC2-AS2	37	27	33	40	37	32
RAB1B	11050	7097	9194	15607	10241	14092
LOC107984340	1608	1087	1330	2458	1516	1980
CNIH2	97	54	75	299	206	211
YIF1A	2734	1734	2140	2991	1970	2767
TMEM151A	38	22	20	6	10	17
CD248	0	3	1	2	2	0
RIN1	1131	795	900	1272	864	1068
BRMS1	1693	1051	1387	2562	1591	2272
B4GAT1	513	339	379	1015	715	932
B4GAT1-DT	420	286	368	674	521	644
TRS-GCT3-1	4	2	7	10	8	11
SLC29A2	4750	3024	3885	8851	5882	7766
NPAS4	5	1	1	0	0	1
MRPL11	1323	1004	1129	3323	2415	3330
PELI3	376	253	265	501	352	485
DPP3-DT	200	180	168	339	239	334
DPP3	4179	2730	3474	6260	4021	5392
BBS1	1776	1182	1445	2175	1422	1789
ZDHHC24	1994	1396	1622	2328	1660	2154
ACTN3	5	5	7	7	5	7
CTSF	698	493	530	1098	776	973
CCDC87	53	38	51	44	34	44
CCS	1337	941	1076	2041	1407	1871
RBM14-RBM4	2678	1858	2165	3894	2845	3613
RBM14	2997	2170	2618	5594	3611	4994
RBM4	5859	4067	4748	8718	6305	8048
RBM4B	1546	1137	1246	2585	1819	2518
SPTBN2	6213	4225	4979	6648	4317	5567
C11orf80	1928	1431	1714	1785	1199	1641
RCE1	1563	1086	1306	2003	1262	1923
PC	1395	956	1143	2547	1694	2309
LRFN4	2200	1688	1732	1862	1204	1669
MIR3163	1	0	0	0	0	0
LOC105369355	3	3	2	7	4	8
C11orf86	0	0	1	0	0	1
SYT12	1246	779	977	10544	7076	9856
MIR6860	1	0	0	1	1	0
RHOD	1427	1019	1219	7460	5384	6940
LOC107984341	1	0	0	0	0	0
KDM2A	9682	6645	7712	12614	8362	11144
GRK2	5951	4151	4802	7523	5058	6474
ANKRD13D	3590	2314	2895	3874	2509	3284
SSH3	7734	4811	6314	9133	5995	7770
LOC100130987	280	218	227	344	208	305
POLD4	2649	1689	2133	12064	8472	10452
CLCF1	498	351	393	184	97	158
RAD9A	1845	1238	1428	2697	1764	2259
PPP1CA	6440	4446	5467	11357	7387	9392
TBC1D10C	130	79	84	192	128	202
CARNS1	299	190	232	363	247	328
RPS6KB2	2357	1506	1926	3089	2032	2656
CORO1B	12003	7727	9723	13055	8686	11091
PTPRCAP	218	125	155	233	167	206
GPR152	3	4	6	8	1	9
CABP4	17	13	11	24	25	23
TMEM134	1748	1227	1415	2656	1781	2183
AIP	2740	1679	2260	4105	2876	3999
MIR6752	6	2	4	9	5	7
PITPNM1	1799	1190	1314	4888	2980	3900
CDK2AP2	1495	1058	1269	2109	1419	1840
CABP2	0	0	1	0	0	0
GSTP1	1	0	0	0	0	0
NDUFV1-DT	5	3	1	2	4	6
NDUFV1	4563	3157	3870	7326	4860	6502
DOC2GP	7	0	2	8	9	4
NUDT8	134	89	130	206	131	164
TBX10	2	1	6	7	4	11
ACY3	0	0	0	0	0	0
ALDH3B2	2301	1480	1897	12452	8004	11132
LOC105369358	0	0	0	0	0	0
LOC105379406	0	1	1	0	0	0
FAM86C2P	370	236	309	764	498	621
LINC02754	0	0	3	1	1	1
LOC112268076	4	1	1	2	0	7
UNC93B1	2334	1656	1746	3835	2712	3264
ALDH3B1	236	164	171	405	276	333
NDUFS8	2115	1357	1677	3214	2241	3149
